id_produto,produto,categoria,custo,preco
96,Escritório Produto 096,Escritório,1152.25,1506.19
97,Telefonia Produto 097,Telefonia,999.75,1406.26
98,Eletrônicos Produto 098,Eletrônicos,214.69,368.63
99,Escritório Produto 099,Escritório,988.88,1632.4
100,Escritório Produto 100,Escritório,782.17,919.13
101,Periféricos Produto 101,Periféricos,1619.68,2636.31
102,Eletrônicos Produto 102,Eletrônicos,1619.58,2066.66
103,Móveis Produto 103,Móveis,1205.48,1642.11
104,Software Produto 104,Software,1753.3,2804.73
105,Móveis Produto 105,Móveis,1558.32,2704.81
106,Escritório Produto 106,Escritório,1588.33,1850.2
107,Periféricos Produto 107,Periféricos,1411.56,1971.99
108,Móveis Produto 108,Móveis,491.25,797.02
109,Informática Produto 109,Informática,697.84,818.73
110,Telefonia Produto 110,Telefonia,412.04,675.73
111,Telefonia Produto 111,Telefonia,639.14,1049.67
112,Móveis Produto 112,Móveis,412.92,638.38
113,Software Produto 113,Software,600.95,1002.75
114,Acessórios Produto 114,Acessórios,641.8,934.23
115,Periféricos Produto 115,Periféricos,1691.54,2062.33
116,Acessórios Produto 116,Acessórios,333.74,576.54
117,Acessórios Produto 117,Acessórios,83.29,125.6
118,Periféricos Produto 118,Periféricos,1315.45,1760.34
119,Informática Produto 119,Informática,702.57,1051.01
120,Acessórios Produto 120,Acessórios,94.23,133.02
121,Móveis Produto 121,Móveis,665.14,792.84
122,Periféricos Produto 122,Periféricos,1127.33,1745.14
123,Informática Produto 123,Informática,1299.76,1728.93
124,Acessórios Produto 124,Acessórios,1205.4,1622.12
125,Acessórios Produto 125,Acessórios,1004.63,1270.96
126,Software Produto 126,Software,1224.01,2070.64
127,Acessórios Produto 127,Acessórios,739.84,1220.91
128,Acessórios Produto 128,Acessórios,527.14,742.18
129,Periféricos Produto 129,Periféricos,845.0,1195.93
130,Móveis Produto 130,Móveis,927.45,1508.26
131,Escritório Produto 131,Escritório,1191.05,1572.51
132,Periféricos Produto 132,Periféricos,181.7,312.74
133,Móveis Produto 133,Móveis,1215.94,1562.22
134,Móveis Produto 134,Móveis,278.03,327.44
135,Telefonia Produto 135,Telefonia,1106.12,1782.06
136,Telefonia Produto 136,Telefonia,754.78,1153.2
137,Móveis Produto 137,Móveis,1297.25,1790.71
138,Software Produto 138,Software,450.51,695.42
139,Eletrônicos Produto 139,Eletrônicos,1608.4,2680.02
140,Informática Produto 140,Informática,1404.48,1799.57
141,Telefonia Produto 141,Telefonia,104.64,135.98
142,Informática Produto 142,Informática,829.78,1353.25
143,Periféricos Produto 143,Periféricos,1710.82,2882.48
144,Software Produto 144,Software,1497.57,2214.49
145,Escritório Produto 145,Escritório,1342.42,1926.11
146,Acessórios Produto 146,Acessórios,1356.92,2244.23
147,Acessórios Produto 147,Acessórios,1381.98,2021.53
148,Móveis Produto 148,Móveis,505.16,604.42
149,Acessórios Produto 149,Acessórios,433.57,585.97
150,Informática Produto 150,Informática,262.0,337.65
151,Escritório Produto 151,Escritório,1275.96,1516.53
152,Software Produto 152,Software,605.62,865.77
153,Eletrônicos Produto 153,Eletrônicos,384.2,538.68
154,Eletrônicos Produto 154,Eletrônicos,1544.27,2485.28
155,Software Produto 155,Software,866.41,1486.45
156,Acessórios Produto 156,Acessórios,1359.95,2260.33
157,Software Produto 157,Software,975.72,1552.16
158,Móveis Produto 158,Móveis,886.49,1164.64
159,Telefonia Produto 159,Telefonia,66.81,90.31
160,Software Produto 160,Software,1307.66,2163.27
161,Escritório Produto 161,Escritório,1765.59,2596.25
162,Software Produto 162,Software,1071.53,1658.51
163,Informática Produto 163,Informática,1162.31,1431.29
164,Telefonia Produto 164,Telefonia,339.39,443.28
165,Periféricos Produto 165,Periféricos,392.81,528.76
166,Software Produto 166,Software,511.69,880.48
167,Software Produto 167,Software,465.3,557.96
168,Eletrônicos Produto 168,Eletrônicos,1352.01,1597.06
169,Periféricos Produto 169,Periféricos,415.24,494.62
170,Eletrônicos Produto 170,Eletrônicos,1361.31,2341.14
171,Móveis Produto 171,Móveis,1513.02,2304.03
172,Móveis Produto 172,Móveis,240.3,372.87
173,Móveis Produto 173,Móveis,845.09,1101.78
174,Periféricos Produto 174,Periféricos,314.5,476.26
175,Informática Produto 175,Informática,1403.36,1751.76
176,Acessórios Produto 176,Acessórios,207.96,242.36
177,Acessórios Produto 177,Acessórios,1042.8,1767.35
178,Software Produto 178,Software,723.03,1141.67
179,Informática Produto 179,Informática,1071.89,1766.84
180,Móveis Produto 180,Móveis,196.89,317.68
181,Informática Produto 181,Informática,1436.27,2139.41
182,Eletrônicos Produto 182,Eletrônicos,634.76,893.12
183,Periféricos Produto 183,Periféricos,138.09,212.46
184,Eletrônicos Produto 184,Eletrônicos,1531.49,2516.85
185,Informática Produto 185,Informática,788.84,1078.59
186,Telefonia Produto 186,Telefonia,1277.55,1803.0
187,Acessórios Produto 187,Acessórios,1114.4,1896.45
188,Telefonia Produto 188,Telefonia,844.8,1390.07
189,Acessórios Produto 189,Acessórios,590.31,765.81
190,Informática Produto 190,Informática,512.89,728.55
191,Telefonia Produto 191,Telefonia,1032.18,1600.82
192,Periféricos Produto 192,Periféricos,66.23,109.98
193,Escritório Produto 193,Escritório,885.28,1206.54
194,Acessórios Produto 194,Acessórios,622.5,1044.67
195,Acessórios Produto 195,Acessórios,1007.09,1470.33
196,Móveis Produto 196,Móveis,167.82,265.5
197,Telefonia Produto 197,Telefonia,1005.99,1301.95
198,Telefonia Produto 198,Telefonia,1167.94,1687.08
199,Eletrônicos Produto 199,Eletrônicos,181.1,232.34
200,Móveis Produto 200,Móveis,561.58,841.77
201,Telefonia Produto 201,Telefonia,1002.95,1360.26
202,Periféricos Produto 202,Periféricos,642.98,914.48
203,Acessórios Produto 203,Acessórios,463.76,566.9
204,Móveis Produto 204,Móveis,578.25,922.73
205,Escritório Produto 205,Escritório,356.9,568.6
206,Acessórios Produto 206,Acessórios,1308.38,2271.3
207,Acessórios Produto 207,Acessórios,1765.21,2911.85
208,Acessórios Produto 208,Acessórios,421.06,529.55
209,Eletrônicos Produto 209,Eletrônicos,1278.81,1567.76
210,Eletrônicos Produto 210,Eletrônicos,1754.12,2599.63
211,Escritório Produto 211,Escritório,1153.6,1847.69
212,Informática Produto 212,Informática,1572.8,2350.45
213,Telefonia Produto 213,Telefonia,869.5,1177.67
214,Eletrônicos Produto 214,Eletrônicos,465.67,776.29
215,Informática Produto 215,Informática,1482.48,2061.28
216,Informática Produto 216,Informática,1044.98,1632.12
217,Escritório Produto 217,Escritório,281.32,418.52
218,Acessórios Produto 218,Acessórios,167.05,216.98
219,Software Produto 219,Software,1097.28,1782.47
220,Móveis Produto 220,Móveis,1399.61,1928.98
221,Telefonia Produto 221,Telefonia,545.78,820.37
222,Software Produto 222,Software,560.1,852.82
223,Informática Produto 223,Informática,1706.45,2175.17
224,Móveis Produto 224,Móveis,487.39,584.24
225,Móveis Produto 225,Móveis,325.26,388.7
226,Eletrônicos Produto 226,Eletrônicos,744.2,1163.65
227,Telefonia Produto 227,Telefonia,534.9,689.42
228,Acessórios Produto 228,Acessórios,1269.83,1806.23
229,Móveis Produto 229,Móveis,1664.18,2700.46
230,Móveis Produto 230,Móveis,773.87,1142.8
231,Escritório Produto 231,Escritório,1636.51,2693.66
232,Informática Produto 232,Informática,121.45,197.43
233,Acessórios Produto 233,Acessórios,798.89,1143.39
234,Acessórios Produto 234,Acessórios,1264.02,2168.56
235,Telefonia Produto 235,Telefonia,796.4,1201.63
236,Software Produto 236,Software,1326.14,2005.43
237,Eletrônicos Produto 237,Eletrônicos,178.02,307.47
238,Eletrônicos Produto 238,Eletrônicos,1799.24,2794.88
239,Acessórios Produto 239,Acessórios,1043.6,1677.97
240,Escritório Produto 240,Escritório,854.84,1317.23
241,Acessórios Produto 241,Acessórios,338.96,508.85
242,Telefonia Produto 242,Telefonia,1744.76,2498.51
243,Software Produto 243,Software,609.96,946.71
244,Escritório Produto 244,Escritório,603.7,945.52
245,Acessórios Produto 245,Acessórios,1197.71,1665.14
246,Eletrônicos Produto 246,Eletrônicos,826.86,1106.93
247,Periféricos Produto 247,Periféricos,221.92,358.07
248,Eletrônicos Produto 248,Eletrônicos,1188.92,1754.32
249,Software Produto 249,Software,111.75,163.27
250,Telefonia Produto 250,Telefonia,1131.35,1816.94
251,Móveis Produto 251,Móveis,491.7,604.11
252,Acessórios Produto 252,Acessórios,797.04,1250.52
253,Informática Produto 253,Informática,66.53,101.66
254,Móveis Produto 254,Móveis,1281.96,1713.28
255,Eletrônicos Produto 255,Eletrônicos,1000.77,1206.85
256,Informática Produto 256,Informática,838.68,1023.59
257,Escritório Produto 257,Escritório,904.6,1429.23
258,Acessórios Produto 258,Acessórios,756.65,1089.2
259,Telefonia Produto 259,Telefonia,450.06,666.43
260,Software Produto 260,Software,355.24,536.28
261,Escritório Produto 261,Escritório,1557.29,2049.0
262,Software Produto 262,Software,621.68,1008.76
263,Acessórios Produto 263,Acessórios,1479.68,1952.74
264,Acessórios Produto 264,Acessórios,1509.89,2261.75
265,Telefonia Produto 265,Telefonia,1559.49,2211.25
266,Telefonia Produto 266,Telefonia,631.05,934.68
267,Software Produto 267,Software,827.79,1111.78
268,Móveis Produto 268,Móveis,1765.68,2283.52
269,Software Produto 269,Software,431.91,697.68
270,Eletrônicos Produto 270,Eletrônicos,582.94,835.81
271,Software Produto 271,Software,704.15,1090.17
272,Escritório Produto 272,Escritório,899.16,1054.01
273,Periféricos Produto 273,Periféricos,1567.42,2624.67
274,Telefonia Produto 274,Telefonia,192.99,327.36
275,Eletrônicos Produto 275,Eletrônicos,1304.56,1821.15
276,Escritório Produto 276,Escritório,148.57,240.52
277,Acessórios Produto 277,Acessórios,619.33,969.64
278,Informática Produto 278,Informática,1535.4,2550.92
279,Software Produto 279,Software,1718.14,2622.02
280,Telefonia Produto 280,Telefonia,1572.2,1841.89
281,Informática Produto 281,Informática,434.06,677.41
282,Acessórios Produto 282,Acessórios,1795.41,2869.17
283,Software Produto 283,Software,1761.33,2829.09
284,Informática Produto 284,Informática,806.97,1264.04
285,Eletrônicos Produto 285,Eletrônicos,97.09,158.03
286,Acessórios Produto 286,Acessórios,654.86,922.31
287,Móveis Produto 287,Móveis,963.13,1434.64
288,Escritório Produto 288,Escritório,318.42,381.27
289,Software Produto 289,Software,1121.18,1451.37
290,Escritório Produto 290,Escritório,429.46,658.25
291,Telefonia Produto 291,Telefonia,470.76,544.03
292,Telefonia Produto 292,Telefonia,1623.66,2527.33
293,Escritório Produto 293,Escritório,146.84,252.15
294,Acessórios Produto 294,Acessórios,1155.51,1623.01
295,Acessórios Produto 295,Acessórios,830.45,1105.56
296,Software Produto 296,Software,1538.2,1867.36
297,Software Produto 297,Software,1035.88,1548.52
298,Acessórios Produto 298,Acessórios,54.16,89.26
299,Software Produto 299,Software,504.95,752.15
300,Eletrônicos Produto 300,Eletrônicos,1640.45,2619.97
301,Acessórios Produto 301,Acessórios,1399.7,1802.91
302,Periféricos Produto 302,Periféricos,405.92,513.12
303,Acessórios Produto 303,Acessórios,1224.81,1938.33
304,Escritório Produto 304,Escritório,1136.42,1922.87
305,Eletrônicos Produto 305,Eletrônicos,566.45,801.24
306,Periféricos Produto 306,Periféricos,1322.26,1592.11
307,Acessórios Produto 307,Acessórios,598.19,837.05
308,Móveis Produto 308,Móveis,250.91,369.75
309,Periféricos Produto 309,Periféricos,962.57,1634.53
310,Escritório Produto 310,Escritório,473.69,779.13
311,Telefonia Produto 311,Telefonia,1741.78,2311.49
312,Periféricos Produto 312,Periféricos,1450.56,2075.75
313,Informática Produto 313,Informática,266.25,460.59
314,Software Produto 314,Software,1741.58,2843.57
315,Periféricos Produto 315,Periféricos,176.19,244.33
316,Acessórios Produto 316,Acessórios,972.78,1384.14
317,Acessórios Produto 317,Acessórios,1058.44,1739.49
318,Periféricos Produto 318,Periféricos,208.4,268.9
319,Eletrônicos Produto 319,Eletrônicos,1120.89,1923.34
320,Periféricos Produto 320,Periféricos,1648.73,2115.02
321,Informática Produto 321,Informática,1149.2,1641.7
322,Acessórios Produto 322,Acessórios,1173.89,1432.15
323,Eletrônicos Produto 323,Eletrônicos,1704.08,2270.89
324,Telefonia Produto 324,Telefonia,222.28,286.94
325,Escritório Produto 325,Escritório,708.73,972.81
326,Software Produto 326,Software,1063.4,1686.51
327,Software Produto 327,Software,1184.04,1953.92
328,Software Produto 328,Software,1691.21,2228.75
329,Periféricos Produto 329,Periféricos,402.83,570.74
330,Móveis Produto 330,Móveis,1541.98,1865.2
331,Periféricos Produto 331,Periféricos,986.87,1713.9
332,Periféricos Produto 332,Periféricos,123.08,161.92
333,Informática Produto 333,Informática,1708.98,2810.44
334,Informática Produto 334,Informática,1198.04,1839.02
335,Eletrônicos Produto 335,Eletrônicos,105.28,142.14
336,Escritório Produto 336,Escritório,1419.76,1807.53
337,Móveis Produto 337,Móveis,1061.69,1738.87
338,Móveis Produto 338,Móveis,601.48,744.95
339,Eletrônicos Produto 339,Eletrônicos,509.94,887.51
340,Escritório Produto 340,Escritório,979.28,1595.35
341,Informática Produto 341,Informática,1194.99,1392.72
342,Eletrônicos Produto 342,Eletrônicos,654.46,1062.23
343,Periféricos Produto 343,Periféricos,43.17,56.52
344,Escritório Produto 344,Escritório,1338.97,1962.46
345,Informática Produto 345,Informática,865.1,1398.7
346,Informática Produto 346,Informática,821.83,1054.35
347,Eletrônicos Produto 347,Eletrônicos,1313.13,2226.08
348,Acessórios Produto 348,Acessórios,832.61,1439.1
349,Eletrônicos Produto 349,Eletrônicos,1797.48,2980.9
350,Software Produto 350,Software,1239.68,1790.3
351,Telefonia Produto 351,Telefonia,146.18,175.19
352,Escritório Produto 352,Escritório,132.24,173.9
353,Periféricos Produto 353,Periféricos,694.91,1048.23
354,Acessórios Produto 354,Acessórios,824.88,1248.25
355,Informática Produto 355,Informática,1430.68,1743.5
356,Móveis Produto 356,Móveis,782.67,1317.12
357,Software Produto 357,Software,619.99,881.69
358,Software Produto 358,Software,1317.36,1762.01
359,Periféricos Produto 359,Periféricos,1202.22,1652.55
360,Escritório Produto 360,Escritório,1240.98,1780.26
361,Informática Produto 361,Informática,1499.71,1808.56
362,Informática Produto 362,Informática,1344.09,1846.23
363,Escritório Produto 363,Escritório,1008.12,1514.07
364,Periféricos Produto 364,Periféricos,1210.97,1691.1
365,Software Produto 365,Software,1564.54,2476.1
366,Acessórios Produto 366,Acessórios,1086.73,1479.03
367,Móveis Produto 367,Móveis,291.19,419.11
368,Informática Produto 368,Informática,639.95,949.53
369,Informática Produto 369,Informática,1376.25,2056.75
370,Software Produto 370,Software,1523.6,2643.03
371,Eletrônicos Produto 371,Eletrônicos,1102.06,1702.35
372,Acessórios Produto 372,Acessórios,66.68,87.62
373,Acessórios Produto 373,Acessórios,1659.94,2258.54
374,Escritório Produto 374,Escritório,1567.7,2335.55
375,Software Produto 375,Software,139.21,221.98
376,Eletrônicos Produto 376,Eletrônicos,178.79,262.52
377,Software Produto 377,Software,764.4,1035.41
378,Periféricos Produto 378,Periféricos,571.27,768.15
379,Informática Produto 379,Informática,1591.77,1979.12
380,Eletrônicos Produto 380,Eletrônicos,1218.03,1599.59
381,Software Produto 381,Software,881.91,1248.1
382,Acessórios Produto 382,Acessórios,399.79,582.66
383,Periféricos Produto 383,Periféricos,782.4,1032.73
384,Telefonia Produto 384,Telefonia,955.58,1275.75
385,Móveis Produto 385,Móveis,720.55,1087.74
386,Eletrônicos Produto 386,Eletrônicos,379.9,652.36
387,Escritório Produto 387,Escritório,1379.03,1825.38
388,Informática Produto 388,Informática,28.8,46.03
389,Escritório Produto 389,Escritório,245.6,360.92
390,Móveis Produto 390,Móveis,907.97,1498.16
391,Periféricos Produto 391,Periféricos,143.65,239.47
392,Eletrônicos Produto 392,Eletrônicos,793.65,1131.63
393,Informática Produto 393,Informática,1553.87,2323.74
394,Software Produto 394,Software,1281.46,1794.83
395,Informática Produto 395,Informática,737.98,1276.5
396,Escritório Produto 396,Escritório,1445.36,2198.21
397,Periféricos Produto 397,Periféricos,172.31,285.46
398,Móveis Produto 398,Móveis,792.68,1102.04
399,Informática Produto 399,Informática,721.44,963.96
400,Periféricos Produto 400,Periféricos,410.51,663.99
401,Informática Produto 401,Informática,926.21,1128.51
402,Móveis Produto 402,Móveis,1632.07,2219.0
403,Escritório Produto 403,Escritório,436.74,540.63
404,Móveis Produto 404,Móveis,324.7,403.19
405,Informática Produto 405,Informática,331.21,534.48
406,Telefonia Produto 406,Telefonia,843.16,1254.83
407,Telefonia Produto 407,Telefonia,1230.82,2066.83
408,Periféricos Produto 408,Periféricos,1557.68,2377.53
409,Escritório Produto 409,Escritório,799.98,1145.05
410,Acessórios Produto 410,Acessórios,1436.45,2161.64
411,Periféricos Produto 411,Periféricos,920.6,1230.15
412,Telefonia Produto 412,Telefonia,82.13,112.62
413,Acessórios Produto 413,Acessórios,151.96,253.55
414,Informática Produto 414,Informática,1112.79,1618.26
415,Telefonia Produto 415,Telefonia,1050.89,1810.2
416,Eletrônicos Produto 416,Eletrônicos,817.77,1337.78
417,Móveis Produto 417,Móveis,588.93,845.34
418,Escritório Produto 418,Escritório,1724.53,2449.37
419,Periféricos Produto 419,Periféricos,1768.56,2123.33
420,Escritório Produto 420,Escritório,84.87,133.63
421,Telefonia Produto 421,Telefonia,950.46,1440.79
422,Periféricos Produto 422,Periféricos,680.54,898.13
423,Software Produto 423,Software,1397.42,2176.26
424,Eletrônicos Produto 424,Eletrônicos,1423.77,2190.3
425,Informática Produto 425,Informática,603.5,896.06
426,Software Produto 426,Software,522.2,827.29
427,Escritório Produto 427,Escritório,610.05,914.86
428,Escritório Produto 428,Escritório,1651.39,2206.49
429,Software Produto 429,Software,245.18,386.23
430,Informática Produto 430,Informática,567.6,781.02
431,Periféricos Produto 431,Periféricos,1466.53,2276.16
432,Informática Produto 432,Informática,1168.15,1640.13
433,Periféricos Produto 433,Periféricos,47.54,63.48
434,Móveis Produto 434,Móveis,624.99,1006.04
435,Móveis Produto 435,Móveis,419.38,516.9
436,Informática Produto 436,Informática,542.99,881.2
437,Eletrônicos Produto 437,Eletrônicos,1196.54,2005.2
438,Escritório Produto 438,Escritório,1081.08,1343.3
439,Escritório Produto 439,Escritório,1498.95,2417.29
440,Escritório Produto 440,Escritório,1302.31,1531.8
441,Periféricos Produto 441,Periféricos,1222.31,1579.86
442,Telefonia Produto 442,Telefonia,1104.91,1769.44
443,Telefonia Produto 443,Telefonia,432.7,559.7
444,Telefonia Produto 444,Telefonia,1628.59,2062.46
445,Telefonia Produto 445,Telefonia,839.1,1106.83
446,Software Produto 446,Software,912.69,1278.86
447,Escritório Produto 447,Escritório,1473.15,2402.35
448,Escritório Produto 448,Escritório,1573.31,1858.56
449,Telefonia Produto 449,Telefonia,1575.3,2335.74
450,Informática Produto 450,Informática,1284.85,1875.3
451,Informática Produto 451,Informática,523.84,842.27
452,Acessórios Produto 452,Acessórios,817.03,1191.24
453,Software Produto 453,Software,178.71,303.15
454,Telefonia Produto 454,Telefonia,1594.06,2723.11
455,Software Produto 455,Software,110.06,159.72
456,Móveis Produto 456,Móveis,704.31,844.44
457,Móveis Produto 457,Móveis,65.31,111.58
458,Periféricos Produto 458,Periféricos,1427.61,1759.61
459,Acessórios Produto 459,Acessórios,1652.55,2368.89
460,Escritório Produto 460,Escritório,1369.53,1960.44
461,Eletrônicos Produto 461,Eletrônicos,1631.96,1895.36
462,Móveis Produto 462,Móveis,1505.41,2226.93
463,Software Produto 463,Software,213.47,282.39
464,Acessórios Produto 464,Acessórios,232.5,300.64
465,Telefonia Produto 465,Telefonia,127.11,209.99
466,Telefonia Produto 466,Telefonia,1080.18,1252.86
467,Móveis Produto 467,Móveis,1297.6,1719.01
468,Eletrônicos Produto 468,Eletrônicos,1112.44,1439.87
469,Software Produto 469,Software,349.36,541.83
470,Periféricos Produto 470,Periféricos,135.81,199.05
471,Eletrônicos Produto 471,Eletrônicos,711.96,1019.58
472,Software Produto 472,Software,1766.16,2299.88
473,Eletrônicos Produto 473,Eletrônicos,652.41,776.72
474,Móveis Produto 474,Móveis,1323.3,2020.62
475,Periféricos Produto 475,Periféricos,253.14,344.62
476,Periféricos Produto 476,Periféricos,1467.11,1841.3
477,Telefonia Produto 477,Telefonia,1765.76,2537.61
478,Escritório Produto 478,Escritório,1463.52,1738.46
479,Telefonia Produto 479,Telefonia,81.02,102.97
480,Móveis Produto 480,Móveis,1596.14,2137.8
481,Acessórios Produto 481,Acessórios,934.96,1630.08
482,Telefonia Produto 482,Telefonia,467.17,748.39
483,Móveis Produto 483,Móveis,525.71,876.51
484,Eletrônicos Produto 484,Eletrônicos,1560.45,2105.29
485,Informática Produto 485,Informática,1441.83,2036.11
486,Software Produto 486,Software,1341.8,2263.32
487,Software Produto 487,Software,620.18,782.72
488,Telefonia Produto 488,Telefonia,670.71,1092.17
489,Acessórios Produto 489,Acessórios,1445.05,2292.21
490,Informática Produto 490,Informática,783.63,1369.05
491,Escritório Produto 491,Escritório,988.67,1327.51
492,Informática Produto 492,Informática,600.34,796.88
493,Telefonia Produto 493,Telefonia,1090.68,1533.14
494,Telefonia Produto 494,Telefonia,642.51,755.21
495,Periféricos Produto 495,Periféricos,1112.51,1569.71
496,Eletrônicos Produto 496,Eletrônicos,148.95,228.27
497,Periféricos Produto 497,Periféricos,930.86,1489.32
498,Escritório Produto 498,Escritório,1715.73,2120.07
499,Telefonia Produto 499,Telefonia,77.12,91.8
500,Periféricos Produto 500,Periféricos,661.44,1137.47
