id_cliente,nome,cidade,estado,segmento,data_cadastro
75,Cliente 0075,Florianópolis,SC,Corporativo,2025-07-26
76,Cliente 0076,Maceió,AL,Varejo,2025-07-25
77,Cliente 0077,Recife,PE,Atacado,2025-07-05
78,Cliente 0078,Rio de Janeiro,RJ,Corporativo,2025-02-07
79,Cliente 0079,Aracaju,SE,Serviços,2025-10-09
80,Cliente 0080,Natal,RN,Varejo,2025-03-07
81,Cliente 0081,Salvador,BA,Serviços,2025-07-11
82,Cliente 0082,Porto Alegre,RS,Corporativo,2025-10-13
83,Cliente 0083,Maceió,AL,Atacado,2025-04-12
84,Cliente 0084,Belo Horizonte,MG,Serviços,2025-09-14
85,Cliente 0085,Recife,PE,Varejo,2025-01-20
86,Cliente 0086,Fortaleza,CE,Corporativo,2025-08-31
87,Cliente 0087,Rio de Janeiro,RJ,Serviços,2025-03-18
88,Cliente 0088,Belo Horizonte,MG,Atacado,2025-06-17
89,Cliente 0089,Brasília,DF,Corporativo,2025-03-25
90,Cliente 0090,Aracaju,SE,Corporativo,2025-10-31
91,Cliente 0091,Maceió,AL,Serviços,2025-12-29
92,Cliente 0092,Belo Horizonte,MG,Corporativo,2025-09-01
93,Cliente 0093,Goiânia,GO,Varejo,2025-07-08
94,Cliente 0094,Maceió,AL,Varejo,2025-08-02
95,Cliente 0095,Belo Horizonte,MG,Corporativo,2025-12-19
96,Cliente 0096,Curitiba,PR,Varejo,2025-11-02
97,Cliente 0097,São Paulo,SP,Corporativo,2025-12-02
98,Cliente 0098,Porto Alegre,RS,Atacado,2025-01-27
99,Cliente 0099,Belo Horizonte,MG,Serviços,2025-03-29
100,Cliente 0100,Rio de Janeiro,RJ,Serviços,2025-03-17
101,Cliente 0101,Goiânia,GO,Atacado,2025-01-17
102,Cliente 0102,Belo Horizonte,MG,Varejo,2025-04-08
103,Cliente 0103,Recife,PE,Serviços,2025-06-10
104,Cliente 0104,Aracaju,SE,Atacado,2025-07-31
105,Cliente 0105,Florianópolis,SC,Atacado,2025-07-30
106,Cliente 0106,Rio de Janeiro,RJ,Serviços,2025-02-01
107,Cliente 0107,Florianópolis,SC,Atacado,2025-09-23
108,Cliente 0108,João Pessoa,PB,Corporativo,2025-12-06
109,Cliente 0109,São Paulo,SP,Serviços,2025-06-10
110,Cliente 0110,Fortaleza,CE,Serviços,2025-09-30
111,Cliente 0111,Maceió,AL,Corporativo,2025-12-13
112,Cliente 0112,Porto Alegre,RS,Corporativo,2025-11-09
113,Cliente 0113,São Paulo,SP,Atacado,2025-05-07
114,Cliente 0114,Natal,RN,Corporativo,2025-04-26
115,Cliente 0115,Natal,RN,Corporativo,2025-12-27
116,Cliente 0116,João Pessoa,PB,Serviços,2025-06-12
117,Cliente 0117,São Paulo,SP,Corporativo,2025-10-14
118,Cliente 0118,Brasília,DF,Corporativo,2025-05-28
119,Cliente 0119,Salvador,BA,Serviços,2025-07-22
120,Cliente 0120,Goiânia,GO,Corporativo,2025-03-16
121,Cliente 0121,Natal,RN,Varejo,2025-05-28
122,Cliente 0122,Florianópolis,SC,Varejo,2025-06-27
123,Cliente 0123,Brasília,DF,Serviços,2025-12-02
124,Cliente 0124,Natal,RN,Serviços,2025-04-20
125,Cliente 0125,João Pessoa,PB,Corporativo,2025-10-15
126,Cliente 0126,Florianópolis,SC,Corporativo,2025-03-12
127,Cliente 0127,Salvador,BA,Atacado,2025-05-05
128,Cliente 0128,Recife,PE,Atacado,2025-11-23
129,Cliente 0129,João Pessoa,PB,Varejo,2025-02-21
130,Cliente 0130,Aracaju,SE,Corporativo,2025-08-30
131,Cliente 0131,Salvador,BA,Atacado,2025-01-03
132,Cliente 0132,Rio de Janeiro,RJ,Atacado,2025-07-28
133,Cliente 0133,Curitiba,PR,Serviços,2025-09-02
134,Cliente 0134,Curitiba,PR,Atacado,2025-05-28
135,Cliente 0135,Maceió,AL,Corporativo,2025-11-27
136,Cliente 0136,Recife,PE,Varejo,2025-11-30
137,Cliente 0137,Belo Horizonte,MG,Atacado,2025-10-01
138,Cliente 0138,Florianópolis,SC,Varejo,2025-03-31
139,Cliente 0139,Aracaju,SE,Atacado,2025-01-19
140,Cliente 0140,Goiânia,GO,Serviços,2025-09-11
141,Cliente 0141,Fortaleza,CE,Corporativo,2025-01-20
142,Cliente 0142,Recife,PE,Corporativo,2025-10-18
143,Cliente 0143,Belo Horizonte,MG,Varejo,2025-06-21
144,Cliente 0144,Natal,RN,Serviços,2025-11-25
145,Cliente 0145,Rio de Janeiro,RJ,Serviços,2025-03-10
146,Cliente 0146,Goiânia,GO,Serviços,2025-05-20
147,Cliente 0147,João Pessoa,PB,Varejo,2025-06-19
148,Cliente 0148,Fortaleza,CE,Serviços,2025-11-28
149,Cliente 0149,Natal,RN,Atacado,2025-01-08
150,Cliente 0150,Florianópolis,SC,Corporativo,2025-06-01
151,Cliente 0151,Belo Horizonte,MG,Atacado,2025-03-31
152,Cliente 0152,Belo Horizonte,MG,Serviços,2025-08-07
153,Cliente 0153,Rio de Janeiro,RJ,Corporativo,2025-02-14
154,Cliente 0154,Aracaju,SE,Varejo,2025-04-05
155,Cliente 0155,Fortaleza,CE,Serviços,2025-06-15
156,Cliente 0156,Brasília,DF,Atacado,2025-01-04
157,Cliente 0157,Natal,RN,Serviços,2025-05-01
158,Cliente 0158,São Paulo,SP,Corporativo,2025-06-18
159,Cliente 0159,Natal,RN,Varejo,2025-05-14
160,Cliente 0160,Curitiba,PR,Corporativo,2025-12-21
161,Cliente 0161,João Pessoa,PB,Varejo,2025-12-08
162,Cliente 0162,Salvador,BA,Serviços,2025-06-07
163,Cliente 0163,Fortaleza,CE,Serviços,2025-12-18
164,Cliente 0164,Rio de Janeiro,RJ,Corporativo,2025-12-20
165,Cliente 0165,Salvador,BA,Corporativo,2025-07-08
166,Cliente 0166,Belo Horizonte,MG,Atacado,2025-04-23
167,Cliente 0167,Fortaleza,CE,Serviços,2025-03-20
168,Cliente 0168,São Paulo,SP,Corporativo,2025-08-01
169,Cliente 0169,Florianópolis,SC,Serviços,2025-10-03
170,Cliente 0170,Porto Alegre,RS,Atacado,2025-05-07
171,Cliente 0171,Curitiba,PR,Varejo,2025-09-27
172,Cliente 0172,São Paulo,SP,Corporativo,2025-02-09
173,Cliente 0173,Brasília,DF,Varejo,2025-02-01
174,Cliente 0174,Goiânia,GO,Atacado,2025-10-21
175,Cliente 0175,Rio de Janeiro,RJ,Atacado,2025-03-26
176,Cliente 0176,Maceió,AL,Serviços,2025-03-01
177,Cliente 0177,Curitiba,PR,Atacado,2025-10-26
178,Cliente 0178,São Paulo,SP,Varejo,2025-09-19
179,Cliente 0179,São Paulo,SP,Varejo,2025-08-21
180,Cliente 0180,Fortaleza,CE,Serviços,2025-08-22
181,Cliente 0181,Belo Horizonte,MG,Varejo,2025-10-14
182,Cliente 0182,São Paulo,SP,Corporativo,2025-01-12
183,Cliente 0183,Aracaju,SE,Corporativo,2025-01-02
184,Cliente 0184,Florianópolis,SC,Atacado,2025-10-24
185,Cliente 0185,Salvador,BA,Varejo,2025-08-05
186,Cliente 0186,Maceió,AL,Varejo,2025-10-05
187,Cliente 0187,Recife,PE,Varejo,2025-08-30
188,Cliente 0188,Recife,PE,Corporativo,2025-07-29
189,Cliente 0189,Fortaleza,CE,Atacado,2025-11-25
190,Cliente 0190,Florianópolis,SC,Serviços,2025-07-11
191,Cliente 0191,Brasília,DF,Serviços,2025-08-18
192,Cliente 0192,Goiânia,GO,Serviços,2025-07-12
193,Cliente 0193,Salvador,BA,Atacado,2025-12-01
194,Cliente 0194,Goiânia,GO,Corporativo,2025-03-02
195,Cliente 0195,Fortaleza,CE,Serviços,2025-09-28
196,Cliente 0196,Fortaleza,CE,Atacado,2025-01-02
197,Cliente 0197,Porto Alegre,RS,Varejo,2025-06-02
198,Cliente 0198,São Paulo,SP,Serviços,2025-09-30
199,Cliente 0199,Aracaju,SE,Atacado,2025-05-07
200,Cliente 0200,São Paulo,SP,Corporativo,2025-03-21
201,Cliente 0201,Natal,RN,Atacado,2025-02-27
202,Cliente 0202,Recife,PE,Serviços,2025-11-11
203,Cliente 0203,Porto Alegre,RS,Varejo,2025-05-04
204,Cliente 0204,João Pessoa,PB,Varejo,2025-02-21
205,Cliente 0205,Belo Horizonte,MG,Varejo,2025-08-17
206,Cliente 0206,Belo Horizonte,MG,Varejo,2025-05-06
207,Cliente 0207,Florianópolis,SC,Varejo,2025-07-25
208,Cliente 0208,São Paulo,SP,Atacado,2025-10-04
209,Cliente 0209,João Pessoa,PB,Varejo,2025-03-13
210,Cliente 0210,Rio de Janeiro,RJ,Corporativo,2025-04-30
211,Cliente 0211,Goiânia,GO,Corporativo,2025-10-23
212,Cliente 0212,Belo Horizonte,MG,Corporativo,2025-05-02
213,Cliente 0213,Natal,RN,Atacado,2025-12-05
214,Cliente 0214,Rio de Janeiro,RJ,Atacado,2025-07-31
215,Cliente 0215,Natal,RN,Corporativo,2025-02-01
216,Cliente 0216,Rio de Janeiro,RJ,Atacado,2025-11-17
217,Cliente 0217,Curitiba,PR,Serviços,2025-10-12
218,Cliente 0218,São Paulo,SP,Varejo,2025-06-26
219,Cliente 0219,Curitiba,PR,Serviços,2025-09-26
220,Cliente 0220,Maceió,AL,Serviços,2025-07-29
221,Cliente 0221,Fortaleza,CE,Corporativo,2025-07-12
222,Cliente 0222,Fortaleza,CE,Serviços,2025-05-04
223,Cliente 0223,Goiânia,GO,Atacado,2025-06-03
224,Cliente 0224,Goiânia,GO,Atacado,2025-08-26
225,Cliente 0225,Brasília,DF,Varejo,2025-10-15
226,Cliente 0226,Aracaju,SE,Serviços,2025-10-13
227,Cliente 0227,Rio de Janeiro,RJ,Atacado,2025-07-18
228,Cliente 0228,João Pessoa,PB,Corporativo,2025-04-15
229,Cliente 0229,Maceió,AL,Varejo,2025-08-19
230,Cliente 0230,Goiânia,GO,Corporativo,2025-02-17
231,Cliente 0231,Rio de Janeiro,RJ,Atacado,2025-01-27
232,Cliente 0232,Natal,RN,Serviços,2025-12-11
233,Cliente 0233,Belo Horizonte,MG,Varejo,2025-02-07
234,Cliente 0234,João Pessoa,PB,Atacado,2025-09-03
235,Cliente 0235,João Pessoa,PB,Corporativo,2025-06-05
236,Cliente 0236,Brasília,DF,Varejo,2025-04-19
237,Cliente 0237,Brasília,DF,Atacado,2025-03-02
238,Cliente 0238,Florianópolis,SC,Serviços,2025-05-05
239,Cliente 0239,Florianópolis,SC,Atacado,2025-07-23
240,Cliente 0240,Brasília,DF,Atacado,2025-10-10
241,Cliente 0241,Maceió,AL,Corporativo,2025-07-14
242,Cliente 0242,São Paulo,SP,Corporativo,2025-06-07
243,Cliente 0243,Natal,RN,Corporativo,2025-09-20
244,Cliente 0244,Brasília,DF,Serviços,2025-08-27
245,Cliente 0245,Salvador,BA,Serviços,2025-06-13
246,Cliente 0246,Brasília,DF,Atacado,2025-07-09
247,Cliente 0247,Maceió,AL,Serviços,2025-01-24
248,Cliente 0248,Belo Horizonte,MG,Atacado,2025-03-16
249,Cliente 0249,Recife,PE,Corporativo,2025-10-11
250,Cliente 0250,Brasília,DF,Serviços,2025-06-01
251,Cliente 0251,Fortaleza,CE,Atacado,2025-06-18
252,Cliente 0252,João Pessoa,PB,Serviços,2025-10-19
253,Cliente 0253,Goiânia,GO,Atacado,2025-09-13
254,Cliente 0254,Rio de Janeiro,RJ,Corporativo,2025-05-12
255,Cliente 0255,Porto Alegre,RS,Serviços,2025-11-25
256,Cliente 0256,Florianópolis,SC,Serviços,2025-08-24
257,Cliente 0257,Fortaleza,CE,Corporativo,2025-03-28
258,Cliente 0258,Fortaleza,CE,Serviços,2025-04-05
259,Cliente 0259,Brasília,DF,Varejo,2025-09-26
260,Cliente 0260,Recife,PE,Varejo,2025-12-09
261,Cliente 0261,Recife,PE,Varejo,2025-07-31
262,Cliente 0262,Fortaleza,CE,Atacado,2025-02-04
263,Cliente 0263,Florianópolis,SC,Atacado,2025-01-05
264,Cliente 0264,João Pessoa,PB,Serviços,2025-07-11
265,Cliente 0265,Recife,PE,Serviços,2025-12-04
266,Cliente 0266,São Paulo,SP,Varejo,2025-01-04
267,Cliente 0267,Rio de Janeiro,RJ,Serviços,2025-01-07
268,Cliente 0268,Recife,PE,Corporativo,2025-10-02
269,Cliente 0269,Natal,RN,Varejo,2025-09-15
270,Cliente 0270,Goiânia,GO,Serviços,2025-04-02
271,Cliente 0271,Salvador,BA,Varejo,2025-09-26
272,Cliente 0272,Fortaleza,CE,Atacado,2025-04-09
273,Cliente 0273,Belo Horizonte,MG,Corporativo,2025-07-01
274,Cliente 0274,Natal,RN,Serviços,2025-02-10
275,Cliente 0275,Maceió,AL,Serviços,2025-08-24
276,Cliente 0276,Belo Horizonte,MG,Atacado,2025-12-23
277,Cliente 0277,João Pessoa,PB,Corporativo,2025-12-17
278,Cliente 0278,Goiânia,GO,Varejo,2025-12-01
279,Cliente 0279,Goiânia,GO,Varejo,2025-02-17
280,Cliente 0280,Aracaju,SE,Serviços,2025-07-13
281,Cliente 0281,Rio de Janeiro,RJ,Serviços,2025-01-29
282,Cliente 0282,Curitiba,PR,Varejo,2025-12-26
283,Cliente 0283,Fortaleza,CE,Varejo,2025-09-13
284,Cliente 0284,Goiânia,GO,Serviços,2025-11-27
285,Cliente 0285,Porto Alegre,RS,Corporativo,2025-10-17
286,Cliente 0286,Goiânia,GO,Varejo,2025-09-28
287,Cliente 0287,Brasília,DF,Varejo,2025-04-28
288,Cliente 0288,João Pessoa,PB,Serviços,2025-05-19
289,Cliente 0289,Recife,PE,Varejo,2025-12-17
290,Cliente 0290,Brasília,DF,Corporativo,2025-10-06
291,Cliente 0291,Belo Horizonte,MG,Varejo,2025-04-02
292,Cliente 0292,Brasília,DF,Corporativo,2025-01-09
293,Cliente 0293,João Pessoa,PB,Atacado,2025-12-31
294,Cliente 0294,Goiânia,GO,Serviços,2025-02-09
295,Cliente 0295,Natal,RN,Atacado,2025-10-16
296,Cliente 0296,João Pessoa,PB,Serviços,2025-12-13
297,Cliente 0297,Brasília,DF,Corporativo,2025-07-16
298,Cliente 0298,Porto Alegre,RS,Atacado,2025-12-19
299,Cliente 0299,Florianópolis,SC,Varejo,2025-09-14
300,Cliente 0300,Florianópolis,SC,Corporativo,2025-01-28
301,Cliente 0301,Salvador,BA,Serviços,2025-04-29
302,Cliente 0302,Goiânia,GO,Varejo,2025-06-24
303,Cliente 0303,Belo Horizonte,MG,Serviços,2025-06-17
304,Cliente 0304,Recife,PE,Corporativo,2025-08-19
305,Cliente 0305,São Paulo,SP,Atacado,2025-07-02
306,Cliente 0306,Rio de Janeiro,RJ,Serviços,2025-08-10
307,Cliente 0307,Fortaleza,CE,Serviços,2025-02-13
308,Cliente 0308,Porto Alegre,RS,Corporativo,2025-05-07
309,Cliente 0309,Florianópolis,SC,Varejo,2025-02-12
310,Cliente 0310,Natal,RN,Atacado,2025-07-14
311,Cliente 0311,Florianópolis,SC,Atacado,2025-07-19
312,Cliente 0312,Maceió,AL,Corporativo,2025-02-24
313,Cliente 0313,Salvador,BA,Varejo,2025-06-07
314,Cliente 0314,São Paulo,SP,Corporativo,2025-05-19
315,Cliente 0315,Salvador,BA,Atacado,2025-02-14
316,Cliente 0316,Fortaleza,CE,Serviços,2025-08-18
317,Cliente 0317,Rio de Janeiro,RJ,Serviços,2025-02-22
318,Cliente 0318,Recife,PE,Varejo,2025-07-01
319,Cliente 0319,Rio de Janeiro,RJ,Varejo,2025-11-02
320,Cliente 0320,Belo Horizonte,MG,Corporativo,2025-07-17
321,Cliente 0321,Recife,PE,Corporativo,2025-07-31
322,Cliente 0322,Aracaju,SE,Varejo,2025-10-14
323,Cliente 0323,Brasília,DF,Atacado,2025-10-20
324,Cliente 0324,Rio de Janeiro,RJ,Atacado,2025-12-17
325,Cliente 0325,Aracaju,SE,Atacado,2025-03-13
326,Cliente 0326,Natal,RN,Corporativo,2025-05-18
327,Cliente 0327,São Paulo,SP,Atacado,2025-02-02
328,Cliente 0328,Fortaleza,CE,Serviços,2025-05-22
329,Cliente 0329,Aracaju,SE,Corporativo,2025-09-05
330,Cliente 0330,Porto Alegre,RS,Varejo,2025-07-04
331,Cliente 0331,Natal,RN,Atacado,2025-11-17
332,Cliente 0332,São Paulo,SP,Atacado,2025-08-23
333,Cliente 0333,Salvador,BA,Atacado,2025-06-05
334,Cliente 0334,Recife,PE,Serviços,2025-06-20
335,Cliente 0335,Goiânia,GO,Serviços,2025-06-18
336,Cliente 0336,São Paulo,SP,Corporativo,2025-08-09
337,Cliente 0337,Goiânia,GO,Atacado,2025-06-03
338,Cliente 0338,Maceió,AL,Atacado,2025-09-03
339,Cliente 0339,Maceió,AL,Atacado,2025-07-23
340,Cliente 0340,Maceió,AL,Corporativo,2025-12-22
341,Cliente 0341,Curitiba,PR,Serviços,2025-10-22
342,Cliente 0342,Porto Alegre,RS,Atacado,2025-06-16
343,Cliente 0343,Aracaju,SE,Corporativo,2025-07-21
344,Cliente 0344,Maceió,AL,Varejo,2025-10-16
345,Cliente 0345,João Pessoa,PB,Atacado,2025-12-16
346,Cliente 0346,Porto Alegre,RS,Varejo,2025-08-25
347,Cliente 0347,Florianópolis,SC,Atacado,2025-08-13
348,Cliente 0348,Porto Alegre,RS,Corporativo,2025-12-21
349,Cliente 0349,Salvador,BA,Serviços,2025-12-11
350,Cliente 0350,São Paulo,SP,Atacado,2025-11-21
351,Cliente 0351,Natal,RN,Atacado,2025-05-10
352,Cliente 0352,Curitiba,PR,Atacado,2025-08-05
353,Cliente 0353,Porto Alegre,RS,Serviços,2025-02-07
354,Cliente 0354,São Paulo,SP,Serviços,2025-10-26
355,Cliente 0355,Aracaju,SE,Serviços,2025-10-06
356,Cliente 0356,Recife,PE,Corporativo,2025-12-26
357,Cliente 0357,Brasília,DF,Varejo,2025-02-25
358,Cliente 0358,Porto Alegre,RS,Atacado,2025-12-03
359,Cliente 0359,Curitiba,PR,Corporativo,2025-03-27
360,Cliente 0360,Curitiba,PR,Varejo,2025-10-16
361,Cliente 0361,Curitiba,PR,Serviços,2025-06-19
362,Cliente 0362,Porto Alegre,RS,Serviços,2025-02-24
363,Cliente 0363,Recife,PE,Varejo,2025-05-13
364,Cliente 0364,João Pessoa,PB,Atacado,2025-08-17
365,Cliente 0365,Maceió,AL,Serviços,2025-08-26
366,Cliente 0366,Porto Alegre,RS,Atacado,2025-06-26
367,Cliente 0367,Recife,PE,Serviços,2025-02-23
368,Cliente 0368,Natal,RN,Serviços,2025-02-13
369,Cliente 0369,Salvador,BA,Atacado,2025-06-28
370,Cliente 0370,Natal,RN,Corporativo,2025-08-22
371,Cliente 0371,Porto Alegre,RS,Atacado,2025-09-24
372,Cliente 0372,São Paulo,SP,Corporativo,2025-09-01
373,Cliente 0373,Salvador,BA,Serviços,2025-12-23
374,Cliente 0374,São Paulo,SP,Corporativo,2025-02-04
375,Cliente 0375,Natal,RN,Varejo,2025-12-30
376,Cliente 0376,Salvador,BA,Varejo,2025-06-25
377,Cliente 0377,Curitiba,PR,Varejo,2025-12-13
378,Cliente 0378,Porto Alegre,RS,Atacado,2025-05-05
379,Cliente 0379,Rio de Janeiro,RJ,Atacado,2025-10-10
380,Cliente 0380,Fortaleza,CE,Corporativo,2025-10-14
381,Cliente 0381,Aracaju,SE,Serviços,2025-04-29
382,Cliente 0382,Porto Alegre,RS,Serviços,2025-11-19
383,Cliente 0383,Fortaleza,CE,Atacado,2025-11-24
384,Cliente 0384,Curitiba,PR,Serviços,2025-07-22
385,Cliente 0385,Recife,PE,Atacado,2025-08-19
386,Cliente 0386,Belo Horizonte,MG,Serviços,2025-07-19
387,Cliente 0387,Recife,PE,Atacado,2025-04-16
388,Cliente 0388,Natal,RN,Varejo,2025-10-23
389,Cliente 0389,Salvador,BA,Atacado,2025-07-07
390,Cliente 0390,Maceió,AL,Atacado,2025-08-23
391,Cliente 0391,Salvador,BA,Corporativo,2025-12-10
392,Cliente 0392,Goiânia,GO,Serviços,2025-09-28
393,Cliente 0393,Curitiba,PR,Corporativo,2025-11-02
394,Cliente 0394,Aracaju,SE,Serviços,2025-10-28
395,Cliente 0395,Salvador,BA,Corporativo,2025-06-30
396,Cliente 0396,Goiânia,GO,Serviços,2025-11-13
397,Cliente 0397,Fortaleza,CE,Corporativo,2025-11-11
398,Cliente 0398,Belo Horizonte,MG,Varejo,2025-12-11
399,Cliente 0399,Fortaleza,CE,Corporativo,2025-03-02
400,Cliente 0400,João Pessoa,PB,Corporativo,2025-03-01
401,Cliente 0401,Fortaleza,CE,Corporativo,2025-12-22
402,Cliente 0402,Fortaleza,CE,Serviços,2025-08-03
403,Cliente 0403,Belo Horizonte,MG,Atacado,2025-10-22
404,Cliente 0404,Aracaju,SE,Serviços,2025-04-06
405,Cliente 0405,São Paulo,SP,Atacado,2025-10-12
406,Cliente 0406,Fortaleza,CE,Serviços,2025-05-28
407,Cliente 0407,Fortaleza,CE,Atacado,2025-06-11
408,Cliente 0408,Goiânia,GO,Serviços,2025-11-14
409,Cliente 0409,Recife,PE,Corporativo,2025-01-05
410,Cliente 0410,São Paulo,SP,Atacado,2025-04-10
411,Cliente 0411,Goiânia,GO,Serviços,2025-10-15
412,Cliente 0412,Rio de Janeiro,RJ,Serviços,2025-07-29
413,Cliente 0413,Curitiba,PR,Serviços,2025-08-01
414,Cliente 0414,Florianópolis,SC,Serviços,2025-09-08
415,Cliente 0415,Fortaleza,CE,Varejo,2025-10-17
416,Cliente 0416,Recife,PE,Atacado,2025-05-30
417,Cliente 0417,Recife,PE,Corporativo,2025-04-26
418,Cliente 0418,Rio de Janeiro,RJ,Corporativo,2025-03-28
419,Cliente 0419,Porto Alegre,RS,Serviços,2025-10-17
420,Cliente 0420,Florianópolis,SC,Serviços,2025-10-09
421,Cliente 0421,Rio de Janeiro,RJ,Varejo,2025-10-21
422,Cliente 0422,Salvador,BA,Corporativo,2025-10-06
423,Cliente 0423,Goiânia,GO,Corporativo,2025-10-05
424,Cliente 0424,Goiânia,GO,Varejo,2025-08-14
425,Cliente 0425,Rio de Janeiro,RJ,Atacado,2025-08-06
426,Cliente 0426,Salvador,BA,Atacado,2025-06-02
427,Cliente 0427,Goiânia,GO,Varejo,2025-08-19
428,Cliente 0428,Natal,RN,Corporativo,2025-02-14
429,Cliente 0429,São Paulo,SP,Varejo,2025-05-02
430,Cliente 0430,João Pessoa,PB,Corporativo,2025-12-30
431,Cliente 0431,Belo Horizonte,MG,Serviços,2025-03-26
432,Cliente 0432,Belo Horizonte,MG,Atacado,2025-04-16
433,Cliente 0433,Goiânia,GO,Atacado,2025-01-31
434,Cliente 0434,Belo Horizonte,MG,Corporativo,2025-09-30
435,Cliente 0435,Natal,RN,Atacado,2025-06-15
436,Cliente 0436,Florianópolis,SC,Corporativo,2025-05-29
437,Cliente 0437,Belo Horizonte,MG,Corporativo,2025-09-21
438,Cliente 0438,Brasília,DF,Varejo,2025-03-11
439,Cliente 0439,Porto Alegre,RS,Serviços,2025-01-31
