id_venda,id_cliente,id_vendedor,data_venda,forma_pagamento,status
118,44,13,2025-03-02,Transferência,Concluída
119,626,6,2025-10-30,Pix,Concluída
120,346,13,2025-06-16,Cartão,Concluída
121,169,15,2025-05-05,Pix,Concluída
122,949,3,2025-12-28,Boleto,Concluída
123,91,10,2025-06-28,Pix,Concluída
124,945,2,2025-01-28,Boleto,Concluída
125,528,4,2025-02-06,Transferência,Concluída
126,466,6,2025-07-18,Cartão,Concluída
127,161,20,2025-03-29,Cartão,Concluída
128,485,15,2025-05-23,Transferência,Concluída
129,428,2,2025-01-21,Pix,Concluída
130,166,15,2025-10-20,Pix,Cancelada
131,715,20,2025-10-05,Cartão,Concluída
132,969,12,2025-01-27,Transferência,Concluída
133,117,16,2025-10-25,Cartão,Concluída
134,498,17,2025-09-27,Transferência,Concluída
135,509,5,2025-04-15,Pix,Concluída
136,344,14,2025-10-24,Boleto,Concluída
137,980,6,2025-11-13,Boleto,Concluída
138,379,6,2025-04-16,Pix,Concluída
139,951,11,2025-03-21,Boleto,Concluída
140,565,4,2025-06-07,Transferência,Concluída
141,620,17,2025-01-29,Boleto,Concluída
142,826,14,2025-08-01,Pix,Concluída
143,775,13,2025-02-15,Transferência,Concluída
144,847,10,2025-10-27,Transferência,Concluída
145,764,12,2025-10-25,Transferência,Concluída
146,710,5,2025-07-02,Pix,Concluída
147,172,18,2025-06-15,Boleto,Concluída
148,944,6,2025-02-22,Cartão,Concluída
149,763,4,2025-04-24,Cartão,Concluída
150,776,14,2025-01-22,Pix,Concluída
151,45,3,2025-06-04,Pix,Concluída
152,923,7,2025-04-05,Boleto,Concluída
153,972,19,2025-06-28,Cartão,Concluída
154,487,12,2025-12-24,Cartão,Concluída
155,296,18,2025-01-21,Boleto,Concluída
156,14,16,2025-12-11,Transferência,Concluída
157,414,4,2025-04-30,Transferência,Concluída
158,151,15,2025-02-25,Boleto,Concluída
159,779,3,2025-12-05,Transferência,Cancelada
160,471,2,2025-01-17,Boleto,Concluída
161,568,18,2025-10-20,Transferência,Concluída
162,390,4,2025-08-08,Boleto,Concluída
163,433,19,2025-09-21,Boleto,Concluída
164,387,19,2025-07-19,Pix,Concluída
165,295,9,2025-01-25,Transferência,Concluída
166,544,16,2025-08-07,Boleto,Concluída
167,680,18,2025-06-10,Transferência,Concluída
168,62,17,2025-04-13,Transferência,Concluída
169,274,10,2025-11-27,Boleto,Concluída
170,564,6,2025-11-26,Transferência,Concluída
171,66,14,2025-07-06,Pix,Concluída
172,853,19,2025-07-19,Cartão,Cancelada
173,285,5,2025-07-05,Boleto,Concluída
174,655,12,2025-12-17,Cartão,Concluída
175,901,14,2025-01-18,Pix,Concluída
176,54,6,2025-11-19,Cartão,Concluída
177,85,4,2025-03-22,Cartão,Concluída
178,230,1,2025-01-12,Cartão,Concluída
179,173,2,2025-07-25,Transferência,Concluída
180,134,14,2025-04-16,Cartão,Concluída
181,701,15,2025-02-13,Transferência,Concluída
182,98,18,2025-01-31,Boleto,Concluída
183,391,10,2025-07-22,Boleto,Concluída
184,136,3,2025-06-12,Transferência,Concluída
185,290,9,2025-11-10,Boleto,Devolvida
186,727,18,2025-09-06,Transferência,Concluída
187,890,10,2025-04-03,Boleto,Concluída
188,975,4,2025-06-15,Pix,Concluída
189,609,1,2025-06-18,Transferência,Concluída
190,95,13,2025-05-11,Cartão,Concluída
191,377,17,2025-04-13,Transferência,Concluída
192,731,5,2025-09-11,Pix,Concluída
193,940,2,2025-09-20,Transferência,Concluída
194,305,11,2025-10-28,Transferência,Cancelada
195,415,20,2025-09-07,Boleto,Concluída
196,809,18,2025-04-08,Boleto,Concluída
197,646,14,2025-08-01,Boleto,Concluída
198,627,16,2025-04-29,Pix,Concluída
199,602,11,2025-11-05,Transferência,Concluída
200,865,6,2025-11-15,Boleto,Concluída
201,621,16,2025-02-21,Transferência,Concluída
202,117,20,2025-04-27,Cartão,Concluída
203,774,4,2025-02-24,Pix,Concluída
204,788,1,2025-05-06,Boleto,Concluída
205,440,14,2025-07-29,Boleto,Concluída
206,530,3,2025-02-13,Boleto,Concluída
207,353,1,2025-05-24,Cartão,Concluída
208,219,3,2025-09-19,Boleto,Concluída
209,964,4,2025-08-18,Pix,Concluída
210,101,5,2025-12-31,Transferência,Concluída
211,220,15,2025-02-09,Transferência,Concluída
212,34,6,2025-10-14,Pix,Concluída
213,839,16,2025-01-02,Boleto,Concluída
214,580,15,2025-06-22,Transferência,Concluída
215,887,6,2025-12-29,Boleto,Concluída
216,909,19,2025-08-16,Boleto,Concluída
217,787,3,2025-03-20,Transferência,Concluída
218,423,11,2025-05-13,Pix,Concluída
219,505,17,2025-09-16,Pix,Concluída
220,805,5,2025-06-05,Transferência,Concluída
221,850,20,2025-05-29,Cartão,Concluída
222,697,13,2025-06-29,Cartão,Concluída
223,280,8,2025-12-06,Boleto,Concluída
224,10,6,2025-07-31,Transferência,Concluída
225,9,4,2025-08-25,Cartão,Concluída
226,505,20,2025-04-18,Cartão,Concluída
227,281,7,2025-12-14,Boleto,Concluída
228,324,1,2025-07-20,Boleto,Concluída
229,707,14,2025-02-08,Cartão,Concluída
230,817,11,2025-05-09,Pix,Concluída
231,35,13,2025-06-10,Pix,Concluída
232,573,2,2025-05-31,Transferência,Concluída
233,676,20,2025-01-06,Transferência,Concluída
234,927,19,2025-03-06,Boleto,Concluída
235,367,10,2025-10-26,Cartão,Concluída
236,856,18,2025-01-28,Boleto,Concluída
237,615,11,2025-10-24,Boleto,Concluída
238,410,6,2025-01-04,Pix,Concluída
239,451,7,2025-11-20,Boleto,Concluída
240,225,9,2025-03-31,Cartão,Concluída
241,671,4,2025-06-23,Boleto,Concluída
242,384,11,2025-11-03,Cartão,Concluída
243,153,11,2025-05-07,Boleto,Concluída
244,172,17,2025-07-18,Boleto,Cancelada
245,314,14,2025-07-13,Cartão,Concluída
246,419,12,2025-09-12,Boleto,Concluída
247,560,7,2025-06-20,Boleto,Concluída
248,843,12,2025-07-26,Pix,Concluída
249,789,14,2025-04-18,Transferência,Concluída
250,805,2,2025-03-13,Boleto,Concluída
251,33,20,2025-09-08,Cartão,Concluída
252,12,6,2025-06-17,Transferência,Concluída
253,443,16,2025-03-23,Boleto,Concluída
254,468,12,2025-12-25,Boleto,Concluída
255,281,18,2025-05-30,Pix,Concluída
256,785,11,2025-07-29,Cartão,Concluída
257,118,5,2025-06-17,Transferência,Concluída
258,401,6,2025-02-09,Pix,Concluída
259,54,20,2025-01-03,Transferência,Concluída
260,346,7,2025-12-15,Pix,Concluída
261,525,4,2025-06-17,Cartão,Concluída
262,421,10,2025-11-03,Pix,Concluída
263,600,15,2025-07-15,Cartão,Concluída
264,285,11,2025-11-26,Pix,Devolvida
265,67,16,2025-02-05,Pix,Concluída
266,743,15,2025-06-09,Cartão,Concluída
267,82,12,2025-07-23,Cartão,Concluída
268,390,15,2025-06-06,Boleto,Concluída
269,502,10,2025-11-25,Pix,Concluída
270,949,14,2025-05-07,Transferência,Concluída
271,715,5,2025-05-14,Transferência,Concluída
272,923,3,2025-09-23,Transferência,Concluída
273,771,3,2025-02-25,Boleto,Concluída
274,504,1,2025-02-19,Transferência,Concluída
275,419,15,2025-11-17,Pix,Concluída
276,497,4,2025-01-05,Boleto,Concluída
277,8,13,2025-11-05,Boleto,Concluída
278,826,4,2025-01-02,Transferência,Concluída
279,675,16,2025-09-21,Cartão,Concluída
280,47,11,2025-12-14,Cartão,Concluída
281,309,18,2025-08-28,Transferência,Concluída
282,967,3,2025-02-24,Pix,Concluída
283,687,4,2025-12-07,Transferência,Concluída
284,785,20,2025-02-03,Boleto,Concluída
285,763,4,2025-10-21,Cartão,Concluída
286,957,5,2025-09-24,Cartão,Concluída
287,149,10,2025-04-23,Transferência,Concluída
288,706,4,2025-05-21,Transferência,Concluída
289,751,8,2025-12-25,Pix,Cancelada
290,346,14,2025-12-14,Boleto,Concluída
291,453,16,2025-05-30,Cartão,Concluída
292,152,13,2025-08-07,Cartão,Concluída
293,54,4,2025-09-21,Boleto,Concluída
294,377,1,2025-03-03,Pix,Concluída
295,587,16,2025-05-21,Pix,Concluída
296,552,4,2025-04-17,Pix,Concluída
297,212,6,2025-02-14,Boleto,Concluída
298,558,6,2025-08-05,Pix,Concluída
299,361,20,2025-10-03,Cartão,Concluída
300,307,7,2025-03-10,Cartão,Concluída
301,649,7,2025-07-10,Cartão,Concluída
302,342,9,2025-03-16,Boleto,Concluída
303,975,4,2025-03-05,Boleto,Concluída
304,10,17,2025-03-21,Cartão,Concluída
305,624,14,2025-12-28,Cartão,Concluída
306,246,3,2025-03-26,Pix,Concluída
307,896,1,2025-08-06,Cartão,Concluída
308,691,17,2025-04-26,Pix,Concluída
309,553,4,2025-05-29,Transferência,Concluída
310,472,11,2025-06-02,Pix,Concluída
311,442,16,2025-04-12,Cartão,Concluída
312,860,15,2025-03-24,Boleto,Concluída
313,122,14,2025-09-08,Transferência,Concluída
314,812,1,2025-03-06,Boleto,Concluída
315,718,8,2025-12-08,Cartão,Concluída
316,94,2,2025-07-14,Boleto,Concluída
317,288,12,2025-12-31,Cartão,Concluída
318,504,12,2025-06-21,Pix,Concluída
319,134,11,2025-07-04,Boleto,Cancelada
320,352,10,2025-08-31,Cartão,Devolvida
321,991,5,2025-05-29,Pix,Concluída
322,394,18,2025-07-19,Boleto,Concluída
323,467,17,2025-12-29,Boleto,Cancelada
324,137,9,2025-01-27,Cartão,Concluída
325,906,18,2025-05-16,Cartão,Cancelada
326,969,9,2025-11-17,Cartão,Concluída
327,747,6,2025-11-28,Pix,Concluída
328,745,1,2025-11-05,Transferência,Concluída
329,874,3,2025-04-14,Transferência,Concluída
330,362,10,2025-04-26,Transferência,Concluída
331,980,10,2025-07-02,Boleto,Concluída
332,183,14,2025-09-29,Cartão,Concluída
333,153,5,2025-06-13,Transferência,Concluída
334,493,14,2025-11-05,Boleto,Concluída
335,394,3,2025-10-25,Transferência,Concluída
336,874,18,2025-08-04,Cartão,Concluída
337,989,14,2025-07-10,Pix,Concluída
338,455,1,2025-05-27,Cartão,Concluída
339,165,1,2025-07-22,Transferência,Concluída
340,573,20,2025-02-09,Transferência,Concluída
341,555,4,2025-02-03,Pix,Concluída
342,317,1,2025-07-02,Boleto,Cancelada
343,601,2,2025-05-29,Cartão,Concluída
344,442,2,2025-12-31,Transferência,Devolvida
345,785,10,2025-10-08,Transferência,Concluída
346,70,9,2025-10-23,Boleto,Concluída
347,485,9,2025-08-15,Cartão,Concluída
348,411,14,2025-11-14,Cartão,Concluída
349,159,4,2025-05-29,Cartão,Concluída
350,325,11,2025-11-06,Cartão,Concluída
351,217,1,2025-12-17,Boleto,Concluída
352,266,6,2025-01-28,Transferência,Concluída
353,935,19,2025-07-19,Cartão,Concluída
354,962,11,2025-01-08,Transferência,Concluída
355,462,5,2025-11-21,Pix,Concluída
356,171,20,2025-07-13,Boleto,Concluída
357,889,4,2025-12-25,Transferência,Concluída
358,706,14,2025-11-21,Pix,Concluída
359,955,14,2025-02-23,Pix,Concluída
360,721,13,2025-01-04,Cartão,Concluída
361,441,8,2025-10-12,Cartão,Concluída
362,267,18,2025-03-23,Cartão,Concluída
363,608,5,2025-01-15,Pix,Concluída
364,24,19,2025-02-22,Transferência,Concluída
365,322,15,2025-03-24,Boleto,Concluída
366,876,2,2025-03-02,Boleto,Concluída
367,223,1,2025-06-17,Cartão,Concluída
368,977,3,2025-06-28,Boleto,Concluída
369,740,16,2025-08-10,Transferência,Concluída
370,829,11,2025-08-08,Boleto,Concluída
371,735,11,2025-04-20,Boleto,Concluída
372,623,3,2025-10-21,Transferência,Concluída
373,19,19,2025-01-03,Boleto,Concluída
374,482,4,2025-08-01,Boleto,Cancelada
375,933,4,2025-07-11,Pix,Concluída
376,331,14,2025-04-26,Pix,Concluída
377,266,2,2025-02-26,Boleto,Concluída
378,389,9,2025-12-24,Cartão,Concluída
379,729,3,2025-06-30,Cartão,Concluída
380,395,7,2025-09-07,Boleto,Concluída
381,109,5,2025-04-23,Transferência,Concluída
382,192,9,2025-01-15,Transferência,Concluída
383,51,13,2025-08-05,Boleto,Concluída
384,255,4,2025-04-23,Pix,Concluída
385,283,8,2025-11-14,Transferência,Concluída
386,705,8,2025-03-29,Pix,Concluída
387,998,9,2025-02-09,Pix,Concluída
388,464,16,2025-06-29,Boleto,Concluída
389,510,1,2025-05-06,Transferência,Concluída
390,180,9,2025-12-14,Boleto,Concluída
391,511,5,2025-08-27,Cartão,Concluída
392,900,10,2025-09-15,Cartão,Concluída
393,443,19,2025-02-11,Cartão,Concluída
394,396,14,2025-07-24,Boleto,Concluída
395,313,3,2025-06-02,Transferência,Concluída
396,774,5,2025-11-11,Cartão,Concluída
397,580,16,2025-12-20,Pix,Concluída
398,576,16,2025-03-11,Cartão,Concluída
399,107,16,2025-01-13,Transferência,Concluída
400,146,8,2025-03-29,Cartão,Concluída
401,12,19,2025-06-05,Transferência,Concluída
402,741,15,2025-05-22,Cartão,Concluída
403,348,15,2025-03-13,Boleto,Concluída
404,70,2,2025-01-16,Cartão,Cancelada
405,828,8,2025-02-23,Transferência,Concluída
406,588,18,2025-04-13,Boleto,Concluída
407,560,3,2025-06-24,Transferência,Concluída
408,641,13,2025-02-06,Pix,Concluída
409,230,10,2025-05-09,Boleto,Concluída
410,590,8,2025-09-23,Boleto,Concluída
411,752,11,2025-12-06,Cartão,Concluída
412,37,16,2025-09-17,Boleto,Concluída
413,438,18,2025-03-12,Transferência,Concluída
414,941,2,2025-05-02,Pix,Concluída
415,408,16,2025-12-03,Pix,Concluída
416,366,8,2025-08-16,Boleto,Concluída
417,141,17,2025-04-29,Cartão,Concluída
418,451,15,2025-02-28,Transferência,Concluída
419,989,3,2025-01-31,Transferência,Concluída
420,345,9,2025-10-30,Pix,Concluída
421,475,14,2025-10-21,Boleto,Cancelada
422,699,9,2025-02-13,Boleto,Concluída
423,455,15,2025-01-09,Pix,Concluída
424,890,16,2025-03-07,Cartão,Concluída
425,594,11,2025-01-22,Cartão,Concluída
426,866,12,2025-10-04,Pix,Concluída
427,668,12,2025-08-29,Pix,Concluída
428,321,17,2025-09-18,Boleto,Concluída
429,230,19,2025-09-15,Transferência,Concluída
430,981,14,2025-07-05,Boleto,Concluída
431,121,3,2025-07-29,Cartão,Concluída
432,888,17,2025-07-18,Boleto,Concluída
433,740,2,2025-02-07,Boleto,Cancelada
434,329,15,2025-04-01,Boleto,Concluída
435,531,17,2025-10-24,Transferência,Concluída
436,122,10,2025-05-21,Transferência,Concluída
437,145,4,2025-04-16,Cartão,Concluída
438,819,7,2025-01-04,Pix,Concluída
439,270,3,2025-03-12,Pix,Concluída
440,947,2,2025-08-10,Boleto,Concluída
441,966,8,2025-12-11,Boleto,Concluída
442,705,9,2025-11-11,Cartão,Concluída
443,303,4,2025-04-23,Boleto,Concluída
444,616,14,2025-12-18,Pix,Concluída
445,56,9,2025-09-06,Cartão,Cancelada
446,338,5,2025-11-06,Pix,Concluída
447,935,12,2025-10-11,Pix,Concluída
448,44,6,2025-05-25,Pix,Concluída
449,759,9,2025-02-13,Pix,Concluída
450,103,9,2025-12-02,Transferência,Concluída
451,26,13,2025-04-29,Boleto,Concluída
452,741,19,2025-04-30,Transferência,Concluída
453,559,16,2025-06-10,Cartão,Concluída
454,203,15,2025-02-28,Transferência,Concluída
455,381,19,2025-11-29,Cartão,Concluída
456,486,1,2025-06-12,Cartão,Concluída
457,63,20,2025-08-28,Cartão,Concluída
458,198,9,2025-05-26,Boleto,Concluída
459,105,5,2025-09-25,Transferência,Concluída
460,823,20,2025-03-17,Cartão,Concluída
461,859,17,2025-06-12,Pix,Concluída
462,435,7,2025-11-12,Cartão,Concluída
463,282,16,2025-07-23,Boleto,Concluída
464,916,5,2025-12-28,Cartão,Cancelada
465,285,7,2025-12-02,Pix,Concluída
466,63,3,2025-04-09,Cartão,Devolvida
467,121,11,2025-08-27,Pix,Concluída
468,966,7,2025-03-09,Pix,Concluída
469,358,17,2025-08-19,Cartão,Concluída
470,720,14,2025-06-27,Boleto,Concluída
471,945,4,2025-09-22,Cartão,Concluída
472,925,4,2025-04-06,Boleto,Concluída
473,749,13,2025-08-31,Boleto,Concluída
474,977,19,2025-07-25,Pix,Concluída
475,143,5,2025-12-06,Pix,Concluída
476,170,15,2025-01-01,Cartão,Concluída
477,158,18,2025-07-11,Transferência,Concluída
478,852,15,2025-12-28,Pix,Concluída
479,601,1,2025-04-24,Cartão,Concluída
480,142,16,2025-04-07,Cartão,Concluída
481,432,6,2025-03-25,Pix,Concluída
482,436,9,2025-11-21,Transferência,Concluída
483,41,4,2025-09-08,Boleto,Concluída
484,304,1,2025-10-05,Cartão,Concluída
485,97,5,2025-03-16,Transferência,Concluída
486,81,11,2025-11-23,Boleto,Cancelada
487,813,8,2025-12-22,Boleto,Concluída
488,474,20,2025-11-22,Pix,Concluída
489,337,18,2025-07-19,Pix,Concluída
490,873,19,2025-02-10,Transferência,Concluída
491,241,13,2025-10-03,Transferência,Concluída
492,681,11,2025-09-15,Transferência,Concluída
493,410,10,2025-01-02,Boleto,Concluída
494,969,1,2025-06-16,Cartão,Concluída
495,670,13,2025-10-10,Cartão,Concluída
496,916,1,2025-04-16,Transferência,Concluída
497,694,14,2025-09-24,Transferência,Concluída
498,551,4,2025-11-07,Pix,Concluída
499,594,4,2025-03-28,Transferência,Concluída
500,706,15,2025-06-19,Boleto,Concluída
501,132,5,2025-11-08,Transferência,Concluída
502,996,12,2025-11-26,Boleto,Concluída
503,471,19,2025-11-23,Cartão,Concluída
504,985,18,2025-10-03,Pix,Concluída
505,851,3,2025-03-09,Boleto,Concluída
506,489,15,2025-02-20,Pix,Concluída
507,10,19,2025-08-09,Transferência,Concluída
508,181,11,2025-09-17,Boleto,Concluída
509,998,17,2025-08-29,Cartão,Concluída
510,843,6,2025-04-10,Pix,Devolvida
511,216,19,2025-12-11,Boleto,Concluída
512,486,20,2025-08-02,Boleto,Devolvida
513,363,11,2025-08-19,Transferência,Concluída
514,572,18,2025-04-13,Transferência,Concluída
515,499,8,2025-05-24,Transferência,Concluída
516,379,15,2025-05-26,Transferência,Concluída
517,604,10,2025-10-21,Pix,Concluída
518,329,15,2025-04-27,Boleto,Concluída
519,50,17,2025-01-31,Boleto,Concluída
520,895,11,2025-10-03,Boleto,Concluída
521,911,5,2025-11-30,Pix,Concluída
522,301,1,2025-11-16,Pix,Concluída
523,229,19,2025-12-12,Boleto,Devolvida
524,236,7,2025-04-14,Cartão,Concluída
525,409,7,2025-04-16,Transferência,Devolvida
526,17,1,2025-07-14,Transferência,Concluída
527,445,10,2025-04-28,Pix,Concluída
528,822,7,2025-12-05,Boleto,Concluída
529,27,11,2025-01-15,Pix,Concluída
530,919,8,2025-02-17,Pix,Concluída
531,920,18,2025-08-14,Pix,Concluída
532,873,19,2025-04-11,Cartão,Concluída
533,433,12,2025-12-05,Pix,Concluída
534,637,9,2025-10-07,Pix,Concluída
535,351,17,2025-05-15,Boleto,Concluída
536,990,17,2025-04-04,Cartão,Concluída
537,577,17,2025-09-26,Boleto,Concluída
538,996,14,2025-09-01,Boleto,Concluída
539,609,3,2025-01-31,Transferência,Cancelada
540,430,13,2025-10-30,Cartão,Concluída
541,121,17,2025-06-09,Pix,Concluída
542,173,16,2025-05-30,Pix,Concluída
543,507,14,2025-08-04,Pix,Concluída
544,826,16,2025-05-05,Transferência,Concluída
545,385,20,2025-09-23,Transferência,Concluída
546,977,4,2025-10-22,Pix,Concluída
547,873,15,2025-10-21,Pix,Concluída
548,260,12,2025-12-16,Boleto,Concluída
549,572,18,2025-11-28,Transferência,Concluída
550,510,6,2025-07-15,Boleto,Concluída
551,408,20,2025-12-23,Cartão,Concluída
552,349,18,2025-07-01,Cartão,Concluída
553,712,8,2025-05-06,Transferência,Concluída
554,565,19,2025-04-09,Cartão,Concluída
555,720,8,2025-10-03,Cartão,Concluída
556,847,20,2025-04-27,Boleto,Cancelada
557,978,9,2025-10-19,Pix,Concluída
558,55,12,2025-10-28,Pix,Concluída
559,486,5,2025-06-25,Pix,Concluída
560,348,15,2025-02-18,Boleto,Concluída
561,383,4,2025-03-28,Pix,Concluída
562,582,19,2025-07-11,Cartão,Concluída
563,159,20,2025-07-11,Cartão,Concluída
564,605,17,2025-03-27,Transferência,Concluída
565,685,18,2025-02-03,Cartão,Concluída
566,725,19,2025-02-20,Pix,Concluída
567,414,14,2025-07-13,Transferência,Concluída
568,399,10,2025-09-12,Boleto,Devolvida
569,914,19,2025-10-20,Cartão,Concluída
570,183,17,2025-07-09,Pix,Concluída
571,585,20,2025-01-08,Transferência,Concluída
572,339,6,2025-07-19,Boleto,Concluída
573,844,14,2025-07-13,Cartão,Concluída
574,172,9,2025-12-15,Transferência,Concluída
575,37,16,2025-09-03,Pix,Concluída
576,449,5,2025-08-15,Pix,Concluída
577,643,7,2025-06-21,Transferência,Concluída
578,542,10,2025-10-13,Cartão,Concluída
579,123,8,2025-11-18,Pix,Concluída
580,290,20,2025-07-18,Cartão,Concluída
581,377,1,2025-08-10,Cartão,Concluída
582,233,13,2025-03-06,Boleto,Concluída
583,373,11,2025-06-16,Transferência,Concluída
584,803,20,2025-07-06,Transferência,Concluída
585,565,6,2025-12-04,Transferência,Concluída
586,577,5,2025-11-25,Cartão,Concluída
587,628,17,2025-11-18,Pix,Concluída
588,55,11,2025-02-16,Boleto,Concluída
589,487,11,2025-12-27,Boleto,Concluída
590,481,9,2025-12-20,Pix,Concluída
591,786,1,2025-10-28,Boleto,Concluída
592,114,7,2025-11-21,Boleto,Concluída
593,428,6,2025-07-06,Cartão,Concluída
594,640,1,2025-10-21,Boleto,Concluída
595,501,10,2025-05-17,Transferência,Concluída
596,24,5,2025-02-24,Pix,Concluída
597,14,11,2025-11-13,Cartão,Concluída
598,397,11,2025-11-17,Cartão,Concluída
599,194,4,2025-12-26,Pix,Devolvida
600,616,14,2025-09-17,Boleto,Concluída
601,64,3,2025-09-10,Pix,Concluída
602,492,12,2025-09-13,Transferência,Concluída
603,996,13,2025-08-26,Transferência,Concluída
604,892,5,2025-07-24,Pix,Concluída
605,979,18,2025-05-23,Cartão,Concluída
606,823,7,2025-08-02,Pix,Concluída
607,885,5,2025-07-09,Transferência,Concluída
608,968,11,2025-12-19,Boleto,Concluída
609,20,11,2025-09-19,Transferência,Concluída
610,198,9,2025-12-31,Boleto,Concluída
